source_name,source_link,event_id,event_date,event_time,event_title,event_description,location_description,location_accuracy,landslide_category,landslide_trigger,landslide_size,landslide_setting,fatality_count,injury_count,storm_name,photo_link,notes,event_import_source,event_import_id,country_name,country_code,admin_division_name,admin_division_population,gazeteer_closest_point,gazeteer_distance,submitted_date,created_date,last_edited_date,longitude,latitude
www.thedailystar.net,http://www.thedailystar.net/beta2/news/child-killed-in-mudslide-in-coxs-bazar/,5001,06/30/2013 06:00:00 AM,,"Saikatpara Hill Area, Cox'S Bazar Municipality","A four-year-old child was killed and his mother injured in a landslide resulting from heavy rain at Saikatpara, hill area under CoxÕs Bazar municipality, yesterday. A chunk of earth fell on the Saikatpara house of Rezaul Karim a dawn, leaving his son Sakib and wife Taiyaba Begum seriously injured, police said.","Saikatpara Hill Area, Cox'S Bazar Municipality",1km,mudslide,downpour,medium,unknown,1.0,1.0,,,,glc,5001.0,Bangladesh,BD,Chittagong,32523.0,Bāndarban,36.36715,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,92.4951,21.9907
kanglaonline,http://www.kanglaonline.com/index.php?template=headline&newsid=43189&typeid=1,760,08/29/2008 12:00:00 AM,,"Kohima, Nagaland","several colonies have been affected by the landslides, mudslides and sinking due to the incessant rains in the state capital Kohima","Kohima, Nagaland",25km,complex,downpour,medium,unknown,,,,,,glc,760.0,India,IN,Nāgāland,92113.0,Kohima,0.67975,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,94.1066,25.67
youtube,http://www.youtube.com/watch?v=jHTtW2WaJGw,2182,07/31/2010 09:00:00 AM,,Dimapur-Imphal highway (NH 39) near Manipur,Heavy rains triggered a landslide along NH 30 near Imphal. The landslide blocked a 100 ft stretch of road and trucks and cars were stranded on either side. The landslide occurred in the morning. There has been significant deforestation in the area.,Dimapur-Imphal highway (NH 39) near Manipur,25km,landslide,rain,medium,unknown,0.0,,,,,glc,2182.0,India,IN,Manipur,223523.0,Imphal,17.36482,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,93.8443,24.9356
DY365,http://dy365.in/news_details.php?aID=6427&subC=2,10005,07/06/2017 07:39:00 PM,,Landslide crushes house,"Landslide following persistent heavy rainfall crushes house, family escapes unhurt","Beltola, Assam State-Meghalaya State border, India",10km,landslide,continuous_rain,medium,unknown,0.0,0.0,,http://www.dy365.in/images/medium/dy365_1499334111.jpg,,,,,,,,,,07/06/2017 07:39:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,91.80317334,26.10973183
Telegraph India,http://www.telegraphindia.com/1110620/jsp/frontpage/story_14134589.jsp,3632,06/20/2011 08:30:00 PM,,"Birik on NH31A, Kalimpong","In Kalimpong town, power was disrupted from around 10.30am this morning. Despite the rains no major landslides were reported from across the hills. “There have been a number of small landslips in various places but no casualties have been reported till now,” said a district official. A landslide at Birik on NH31A around 8.30pm today cut off Sikkim’s only road link once more. The road had shut down on Friday night after boulders came tumbling down at the same spot, 40km from Rangpo in Kalimpong subdivision. It had reopened around noon yesterday.  ","Birik on NH31A, Kalimpong",5km,landslide,rain,medium,unknown,0.0,,,,,glc,3632.0,India,IN,Bengal,43000.0,Kālimpang,0.5091,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,88.4659,27.0638
The Daily Star,http://www.thedailystar.net/newDesign/latest_news.php?nid=24242,1976,06/15/2010 04:00:00 AM,,South Rahmater Bill village ,"Four members of a family died around 4:00am at South Rahmater Bill village while at the same time another person, son of Zafar Alam, died at the Dhamankhali village in Ukhia upazila in the landslides.",South Rahmater Bill village ,25km,landslide,downpour,medium,unknown,4.0,,,,,glc,1976.0,Bangladesh,BD,Chittagong,253788.0,Cox’s Bāzār,34.1929,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,92.19905362,21.23291114
e-pao.net,http://e-pao.net/GP.asp?src=3..100610.jun10,1954,06/07/2010 12:00:00 AM,,"Irang(?) and Barak(?) and Makru(?) on highway 53 between Imphal and Jiribam, Manipur","The Ministerial team led by Works Minister K Rajit, along with 450 loaded trucks carrying different commodities, arrived at Imphal after over-coming landslides in different parts of the National Highway 53 .  The team returned after inspecting the condition of National Highway 53.The team accompanied 850 loaded trucks which were stranded at different places on the highway due to landslides at Irang and different portions.  The Ministerial team left Jiribam in this morning on their return journey to Imphal with the loaded trucks stranded at Barak and Makru respectively. As per media report landslides triggered by heavy rains on 8th June 2010 along NH-53 at Irang, Awang Khul and at a spot located about 4 kms from Noney, near Irang, Manipur have suspended traffic along the highway. Around 50 mm rainfall was recorded at Imphal.","Irang(?) and Barak(?) and Makru(?) on highway 53 between Imphal and Jiribam, Manipur",50km,landslide,rain,medium,unknown,0.0,,,,,glc,1954.0,India,IN,Manipur,17103.0,Moirāng,39.73504,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,93.5039,24.7543
The Statesmen,http://www.thestatesman.com/news/northeast/27-graves-damaged-in-mizoram-landslide/70263.html,6963,06/19/2015 12:00:00 AM,,"Muanna locality, Mizoram",At least 27 graves of a cemetery were damaged in rain-triggered landslide,"Muanna locality, Mizoram",50km,landslide,rain,medium,natural_slope,0.0,0.0,,,,glc,6963.0,India,IN,Mizoram,265331.0,Aizawl,2.55543,06/25/2015 07:28:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,92.7362,23.7131
www.morungexpress.com,http://www.morungexpress.com/local/103875.html,5336,08/16/2013 12:00:00 AM,,"Tobu, Nagaland","Besides massive mudslide near Yakshu field, multiple landslide/ mudslides along the Tobu road between 71 BRTF camp to Kimang river have occurred affecting the roads by washing away culverts and blocking the roads. All minor landslides/mudslides have been cleared by the BRTF. The landslide and mudslide have also affected many paddy fields of that area.","Tobu, Nagaland",10km,landslide,rain,medium,unknown,,,,,,glc,5336.0,India,IN,Nāgāland,33748.0,Tuensang,18.0996,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,94.9439,26.3897
nvs24,http://nvs24.com/news/topstories/Dozens-missing-in-Myanmar-landslide-4678643.html,9365,04/02/2016 12:00:00 AM,,Phar Kant Jade Mining,"a huge amount of mining debris collapsed, engulfing the homes of some miners.It is unclear what triggered the landslide in the region",Phar Kant Jade Mining,10km,landslide,unknown,large,unknown,104.0,100.0,,,,glc,9365.0,Myanmar [Burma],MM,Kachin,90894.0,Myitkyina,114.45467,08/03/2016 04:22:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,96.2887,25.6219
International Business Times,http://www.ibtimes.co.in/meghalaya-massive-landslide-east-jaintia-hills-flash-floods-shillong-hit-normal-life-643439,7590,08/19/2015 12:00:00 AM,,Tongseng,"Minor landslides were also reported in Tongseng, Ratacherra and Dona areas.",Tongseng,5km,landslide,rain,small,unknown,0.0,0.0,,,,glc,7590.0,India,IN,Meghalaya,55290.0,Karīmganj,30.27913,03/24/2016 12:52:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,92.3807,25.1416
Dhaka Tribune,http://www.dhakatribune.com/bangladesh/2015/apr/19/mud-slide-kills-2-chapainawabganj,7134,04/19/2015 09:00:00 AM,,Ujirpur barrage 3 under Shibchar upazila in Chapainawabganj,"At a stage, the mud from nearby dam slided on them. Later, the locals recovered their bodies from under the mud",Ujirpur barrage 3 under Shibchar upazila in Chapainawabganj,25km,mudslide,dam_embankment_collapse,small,above_river,2.0,0.0,,,,glc,7134.0,Bangladesh,BD,Rājshāhi,142361.0,Nawābganj,9.97116,07/10/2015 03:16:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,88.1825,24.5582
ptinews,http://www.ptinews.com/news/316483_Three-killed--ten-injured-in-Mizoram-landslide,1222,10/05/2009 12:00:00 AM,,"Chhinga Veng, Aizawl","Three persons, including a five-year-old girl, were killed and ten others injured when a massive landslide triggered by rains swept away a building at Chhinga Veng locality here, police said. Besides a five-year-old girl, her grandmother and a 23-year-old woman were also killed when the building, occupied by four families, collapsed and swept away by the landslide, they said.","Chhinga Veng, Aizawl",5km,landslide,downpour,medium,urban,3.0,,,,,glc,1222.0,India,IN,Mizoram,265331.0,Aizawl,0.93904,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,92.72124394,23.73478778
NYOOOZ,http://www.nyoooz.com/guwahati/515423/woman-killed-in-wall-collapse-after-landslide-in-guwahati,8222,06/22/2016 12:00:00 PM,,"Piyali Phukan Nagar, Guwahati, India","A woman was buried alive in Piyali Phukan Nagar in the city when the guard wall of her house collapsed after a landslide. No one else from her family was injured.The rescue official said Rukia's house was located just on the edge of a hill. ""After almost three hours of wroking through the debris, Rukia's body was found,"" an official of the rescue team said. The victim was identified as Rukia Khatun.The incident occurred around noon on Wednesday.Though an operation to extricate her began soon, she could not be saved. Around 120 families have been relocated and more than 50 others have been asked to shift.","Piyali Phukan Nagar, Guwahati, India",5km,mudslide,downpour,medium,natural_slope,1.0,0.0,,http://timesofindia.indiatimes.com/photo/52879646.cms,,glc,8222.0,India,IN,Assam,899094.0,Guwahati,3.88766,07/05/2016 02:46:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,91.7825,26.1961
Assam Times,http://www.assamtimes.org/node/14622,7706,08/19/2015 12:00:00 AM,,National Highway at Kuliang,"More landslide has complicated the surface communication in Ratachora, Tansen and Kuliang keeping a major portion of the National Highway blocked.",National Highway at Kuliang,5km,landslide,rain,medium,above_road,0.0,0.0,,,,glc,7706.0,India,IN,Meghalaya,55290.0,Karīmganj,22.56409,05/13/2016 01:41:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,92.3636,25.0728
Hindustan Times,http://www.hindustantimes.com/india/several-feared-buried-under-landslide-near-bengal-sikkim-border/story-1f7Ni6EagU54nghtFD9otO.html,9215,01/14/2016 05:15:00 AM,,NH10 in Rangpo,"An unspecified number of people are feared trapped after a large piece of rock, estimated to measure about 150 metres, broke off a hillock and crashed down on a stretch of the national highway connecting Sikkim with Bengal. One body was recovered and three injured persons were rescued had been rescued till 8.30 am, officials said. “Three persons have been rescued including two boys. A body of a truck driver has been recovered. It is suspected that two more may be trapped in the debris. Rescue teams are working,” said the Amit P Javalgig, the district police superintendent. The incident happened between 5 am and 5:30 am on Thursday. It was not possible to ascertain immediately how many vehicles or people might be buried under the landslide which took place at Bhotebhir on NH10, about 1 km from Rangpo which marks the Bengal-Sikkim border. It is 75 km from Siliguri in West Bengal. NH10 is the only major road that connects Sikkim with the rest of the country and all movement of tourists, m",NH10 in Rangpo,1km,rock_fall,unknown,medium,above_road,1.0,5.0,,,,glc,9215.0,India,IN,West Bengal,4026.0,Rangpo,0.44677,07/28/2016 05:10:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,88.5294,27.1758
Hindu,http://www.thehindu.com/news/national/other-states/life-remains-hit-in-darjeeling-hills/article9222389.ece,9620,10/15/2016 12:00:00 AM,,Rangpo,"The road on way to Peiling in Sikkim remained cut off due to landslides at Namchi and Rangpo but the Lava-Lolegaon route in Darjeeling was still working, though only for cars and the small vehicles took long detour through the second route, the officials said.",Rangpo,5km,landslide,downpour,medium,above_road,0.0,0.0,,,,glc,9620.0,India,IN,Sikkim,4026.0,Rangpo,0.7337,10/19/2016 01:10:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,88.5292,27.172
The Daily Star,http://www.thedailystar.net/newDesign/latest_news.php?nid=24242,1977,06/15/2010 04:00:00 AM,,Dhamankhali village in Ukhia upazila,"Four members of a family died around 4:00am at South Rahmater Bill village while at the same time another person, son of Zafar Alam, died at the Dhamankhali village in Ukhia upazila in the landslides.",Dhamankhali village in Ukhia upazila,5km,landslide,downpour,medium,unknown,1.0,,,,,glc,1977.0,Bangladesh,BD,Chittagong,253788.0,Cox’s Bāzār,32.54732,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,92.19314477,21.23967983
The Northeast Today,http://thenortheasttoday.com/landslides-damage-houses-graves-in-aizawl/,8224,09/14/2015 01:30:00 AM,,"Aizawl, Mizoram, India","Earlier around 1:30am, landslide damaged 39 graves at Republic Veng locality in the heart of the city. The landslide also blocked internal road of the locality. With this, landslides have damaged a total of 311 graves in four localities in Aizawl.","Aizawl, Mizoram, India",5km,landslide,downpour,medium,above_road,0.0,0.0,,http://thenortheasttoday.com/wp-content/uploads/2015/09/12033852_1012700228774617_1216798541_n.gif,,glc,8224.0,India,IN,Mizoram,265331.0,Aizawl,0.27245,07/05/2016 02:52:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,92.7187,23.7313
savethehills.blogspot,http://savethehills.blogspot.com/2008/06/preliminary-report-on-mamring-kurseong.html,614,06/29/2008 12:00:00 AM,,"Kurseong sub division, Mamring","A major landslide took place in Mamring, a village of 170 houses in Kurseong subdivision at around 0830hrs today (29Jun2008).Luckily there were no casualties, but the area is still in danger because of the huge boulders from above which threaten to flatten the village at any time.","Kurseong sub division, Mamring",5km,landslide,unknown,medium,unknown,,,,,,glc,614.0,India,IN,Bengal,46427.0,Kārsiyāng,0.87238,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,88.28,26.89
kuenselonline,http://www.kuenselonline.com/modules.php?name=News&file=article&sid=13240,1100,08/18/2009 06:00:00 PM,,Sorchen along Phuentsholing-Thimphu highway ,"Hundreds of passengers were stranded in Phuentsholing yesterday when the Phuentsholing-Thimphu highway was blocked at several places at Takti and Sorchen.  Heavy rains on Tuesday evening caused several landslides, which blocked the road at Takti and Sorchen areas. Although officials expected the road to open by afternoon, a major roadblock at Sorchen could not be cleared because of continuous rain. According to road officials, the block at Takti was cleared around 2:00 pm and buses from Thimphu moved down. However, a major roadblock at Kamji could not be cleared as sliding boulders and mud threaten workers, said a road official.",Sorchen along Phuentsholing-Thimphu highway ,1km,landslide,downpour,medium,unknown,0.0,,,,,glc,1100.0,Bhutan,BT,Chhukha,17043.0,Phuntsholing,7.61154,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,89.4497,26.8928
The hindu.com,http://www.hindu.com/thehindu/holnus/001200709072070.htm,242,09/07/2007 12:00:00 AM,,"Darjeeling Hills, multiple villages in area (Kurseong, Kalimpong, Bhalukopa, Kukhleinkhani)",multiple landslides in different villages,"Darjeeling Hills, multiple villages in area (Kurseong, Kalimpong, Bhalukopa, Kukhleinkhani)",25km,landslide,rain,medium,unknown,,,,,,glc,242.0,India,IN,Bengal,46427.0,Kārsiyāng,0.6035,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,88.2833,26.8833
articles.timesofindia,http://articles.timesofindia.indiatimes.com/2012-03-04/guwahati/31120923_1_booths-repoll-polling-stations,4241,03/04/2012 12:00:00 AM,,Tamei constituency in Tamenlong district,"Repolling in 63 booths under nine constituencies in the five hill districts of Senapati, Ukhrul, Churachandpur, Tamenglong and Chandel was held on Sunday amid heavy security with more than 60% turnout recorded. The exercise was supposed to be held in 67 booths but owing to heavy landslides triggered in the remote Tamei constituency in Tamenlong district, poll officials could not reach four booths forcing the Election Commission to defer the exercise till Monday.",Tamei constituency in Tamenlong district,25km,landslide,unknown,medium,unknown,0.0,,,,,glc,4241.0,India,IN,Manipur,223523.0,Imphal,47.30334,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,93.6795,25.1604
china,http://www.china.org.cn/environment/2011-07/22/content_23044018.htm,3898,08/08/2011 12:00:00 AM,,"Bandarban, Bangladesh","Almost incessant rainfall since Monday wreaked havoc all over the country.  Till yesterday, nearly four lakh people in Bandarban remained disconnected from the rest of the country after the torrential rain caused landslides and floods in the hill district.  Many roads went under water and a worrisome number of families lost their homes to landslides after water in the Matamuhuri and Sangu rivers rose significantly above the danger level.  Our Chittagong correspondent reports: although road communication resumed in several parts of Bandarban yesterday, Bandarban Sadar remained totally detached.  The locals of Bandarban termed the downpour the ""all time heaviest"" and the aftermath ""unbelievable"".  The Met office recorded around 750mm of rain across the country yesterday with Bogra having the highest amount of rain, which was 216mm.  While the weather is expected to improve from today, reports of travel disruptions and floods poured in yesterday from all regions of the country.  Half ","Bandarban, Bangladesh",10km,landslide,rain,medium,unknown,2.0,,,,,glc,3898.0,Bangladesh,BD,Chittagong,32523.0,Bāndarban,0.67378,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,92.2168,22.2009
beacononline.wordpress,http://beacononline.wordpress.com/2008/08/31/landslide-victims-being-compensated/,755,08/28/2008 12:00:00 AM,,"Ranka, Sikkim and Louing road","most affected villages of block level are Pabing, Changram, Doksing and Thami Dara","Ranka, Sikkim and Louing road",25km,landslide,downpour,medium,unknown,,,,,,glc,755.0,India,IN,Sikkim,30700.0,Gangtok,1.28629,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,88.609,27.337
The Daily Star,http://www.thedailystar.net/newDesign/latest_news.php?nid=24242,1972,06/15/2010 12:00:00 AM,,Cox's Bazar town,"Powerful landslides triggered by heavy rains killed at least 49 people, including six army personnel, on Tuesday in two southeastern districts of Cox’s Bazar and Bandarban.  In Cox’s Bazar, the mudslides occurred at different parts including the district town and Himchhari ECB camp, leaving 45 people dead.  Superintendent of Police Nibash Chandra Majhi said 31 people were killed in Teknaf, six in Ukhia, two in the district headquarters and six in the Himchhari army camp.  Of the army men buried under the mud, three bodies were recovered while search was going on for the rest, reports a correspondent from Cox’s Bazar.  Deputy Commissioner Md Gias Uddin Ahmed said they were urging people through loudhailers to evacuate the hilly areas. ",Cox's Bazar town,10km,landslide,downpour,medium,unknown,2.0,,,,,glc,1972.0,Bangladesh,BD,Chittagong,253788.0,Cox’s Bāzār,4.53886,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,92.0082,21.4384
voiceofsikkim.com,http://voiceofsikkim.com/2010/04/18/rains-trigger-major-landslide-at-pani-house/,1756,04/17/2010 12:00:00 AM,,"Nam Nang, Gangtok","On the same day, another minor landslide was reported at Nam-Nang. ","Nam Nang, Gangtok",1km,landslide,downpour,small,unknown,0.0,,,,,glc,1756.0,India,IN,Sikkim,30700.0,Gangtok,0.53719,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,88.6087,27.322
